房屋ID,原始州,计算州,方案类型,PV容量_kW,面板数量,电池容量_kWh,投资成本,年用电量_kWh,年发电量_kWh,年自用量_kWh,自用率,回本周期_年,简单回本_年,贴现回本_年,IRR,投资年限,总节省
1,QLD,TAS,经济型,0.88,2,4.4,3275,10148,1302.59,1302.59,100.00%,10.03,10.03,10.45,12.61%,25,15975.00
1,QLD,NT,经济型,0.88,2,4.4,3275,10008,1302.59,1302.59,100.00%,10.03,10.03,10.45,12.61%,25,15975.00
1,QLD,ACT,经济型,0.88,2,4.4,3275,8632,1302.59,1302.59,100.00%,10.03,10.03,10.45,12.61%,25,15975.00
2,QLD,NSW,高端型,1.76,4,9.1,6411,7778,2605.19,2605.19,100.00%,10.04,10.04,10.45,12.70%,25,31800.00
2,QLD,VIC,高端型,1.76,4,9.1,6411,6778,2605.19,2605.19,100.00%,10.04,10.04,10.45,12.70%,25,31800.00
2,QLD,QLD,高端型,1.76,4,9.1,6411,7270,2605.19,2605.19,100.00%,10.04,10.04,10.45,12.70%,25,31800.00
2,QLD,SA,高端型,1.76,4,9.1,6411,7129,2605.19,2605.19,100.00%,10.04,10.04,10.45,12.70%,25,31800.00
2,QLD,WA,高端型,1.76,4,9.1,6411,7634,2605.19,2605.19,100.00%,10.04,10.04,10.45,12.70%,25,31800.00
2,QLD,TAS,高端型,1.76,4,9.1,6411,10148,2605.19,2605.19,100.00%,10.04,10.04,10.45,12.70%,25,31800.00
2,QLD,NT,高端型,1.76,4,9.1,6411,10008,2605.19,2605.19,100.00%,10.04,10.04,10.45,12.70%,25,31800.00
2,QLD,ACT,高端型,1.76,4,9.1,6411,8632,2605.19,2605.19,100.00%,10.04,10.04,10.45,12.70%,25,31800.00
2,QLD,NSW,平衡型,1.76,4,6.6,4864,7778,2605.19,2605.19,100.00%,6.95,6.95,7.22,17.46%,25,33050.00
2,QLD,VIC,平衡型,1.76,4,6.6,4864,6778,2605.19,2605.19,100.00%,6.95,6.95,7.22,17.46%,25,33050.00
2,QLD,QLD,平衡型,1.76,4,6.6,4864,7270,2605.19,2605.19,100.00%,6.95,6.95,7.22,17.46%,25,33050.00
2,QLD,SA,平衡型,1.76,4,6.6,4864,7129,2605.19,2605.19,100.00%,6.95,6.95,7.22,17.46%,25,33050.00
2,QLD,WA,平衡型,1.76,4,6.6,4864,7634,2605.19,2605.19,100.00%,6.95,6.95,7.22,17.46%,25,33050.00
2,QLD,TAS,平衡型,1.76,4,6.6,4864,10148,2605.19,2605.19,100.00%,6.95,6.95,7.22,17.46%,25,33050.00
2,QLD,NT,平衡型,1.76,4,6.6,4864,10008,2605.19,2605.19,100.00%,6.95,6.95,7.22,17.46%,25,33050.00
2,QLD,ACT,平衡型,1.76,4,6.6,4864,8632,2605.19,2605.19,100.00%,6.95,6.95,7.22,17.46%,25,33050.00
2,QLD,NSW,经济型,1.76,4,4.4,3486,7778,2605.19,2605.19,100.00%,4.57,4.57,4.71,25.06%,25,34150.00
2,QLD,VIC,经济型,1.76,4,4.4,3486,6778,2605.19,2605.19,100.00%,4.57,4.57,4.71,25.06%,25,34150.00
2,QLD,QLD,经济型,1.76,4,4.4,3486,7270,2605.19,2605.19,100.00%,4.57,4.57,4.71,25.06%,25,34150.00
2,QLD,SA,经济型,1.76,4,4.4,3486,7129,2605.19,2605.19,100.00%,4.57,4.57,4.71,25.06%,25,34150.00
2,QLD,WA,经济型,1.76,4,4.4,3486,7634,2605.19,2605.19,100.00%,4.57,4.57,4.71,25.06%,25,34150.00
2,QLD,TAS,经济型,1.76,4,4.4,3486,10148,2605.19,2605.19,100.00%,4.57,4.57,4.71,25.06%,25,34150.00
2,QLD,NT,经济型,1.76,4,4.4,3486,10008,2605.19,2605.19,100.00%,4.57,4.57,4.71,25.06%,25,34150.00
2,QLD,ACT,经济型,1.76,4,4.4,3486,8632,2605.19,2605.19,100.00%,4.57,4.57,4.71,25.06%,25,34150.00
3,QLD,NSW,高端型,7.92,18,11.9,10879,7778,11723.34,7282.87,62.12%,4.37,4.37,4.50,25.82%,25,108057.70
3,QLD,VIC,高端型,7.92,18,11.9,10879,6778,11723.34,6599.27,56.29%,4.72,4.72,4.87,24.08%,25,100420.42
3,QLD,QLD,高端型,7.92,18,11.9,10879,7270,11723.34,7196.55,61.39%,4.40,4.40,4.54,25.60%,25,107080.55
3,QLD,SA,高端型,7.92,18,11.9,10879,7129,11723.34,6861.97,58.53%,4.58,4.58,4.72,24.75%,25,103351.59
3,QLD,WA,高端型,7.92,18,11.9,10879,7634,11723.34,7343.23,62.64%,4.34,4.34,4.47,25.97%,25,108724.13
3,QLD,TAS,高端型,7.92,18,11.9,10879,10148,11723.34,8198.56,69.93%,3.97,3.97,4.07,28.14%,25,118281.96
3,QLD,NT,高端型,7.92,18,11.9,10879,10008,11723.34,8426.59,71.88%,3.88,3.88,3.98,28.72%,25,120827.42
3,QLD,ACT,高端型,7.92,18,11.9,10879,8632,11723.34,7346.07,62.66%,4.34,4.34,4.47,25.98%,25,108766.36
3,QLD,NSW,平衡型,7.92,18,7.9,8398,7778,11723.34,5916.60,50.47%,3.74,3.74,3.83,29.59%,25,94808.42
3,QLD,VIC,平衡型,7.92,18,7.9,8398,6778,11723.34,5582.19,47.62%,3.90,3.90,4.00,28.48%,25,91076.00
3,QLD,QLD,平衡型,7.92,18,7.9,8398,7270,11723.34,5982.19,51.03%,3.72,3.72,3.81,29.81%,25,95533.90
3,QLD,SA,平衡型,7.92,18,7.9,8398,7129,11723.34,5662.72,48.30%,3.86,3.86,3.96,28.75%,25,91974.82
3,QLD,WA,平衡型,7.92,18,7.9,8398,7634,11723.34,6124.80,52.24%,3.64,3.64,3.73,30.28%,25,97132.26
3,QLD,TAS,平衡型,7.92,18,7.9,8398,10148,11723.34,6774.53,57.79%,3.38,3.38,3.46,32.43%,25,104384.20
3,QLD,NT,平衡型,7.92,18,7.9,8398,10008,11723.34,7028.94,59.96%,3.28,3.28,3.36,33.27%,25,107223.76
3,QLD,ACT,平衡型,7.92,18,7.9,8398,8632,11723.34,5886.07,50.21%,3.75,3.75,3.85,29.49%,25,94467.70
3,QLD,NSW,经济型,6.6,15,5.3,6120,7778,9769.45,4921.74,50.38%,3.19,3.19,3.26,34.07%,25,79549.94
3,QLD,VIC,经济型,6.6,15,5.3,6120,6778,9769.45,4589.41,46.98%,3.36,3.36,3.44,32.55%,25,75840.73
3,QLD,QLD,经济型,6.6,15,5.3,6120,7270,9769.45,4992.90,51.11%,3.15,3.15,3.22,34.39%,25,80337.58
3,QLD,SA,经济型,6.6,15,5.3,6120,7129,9769.45,4672.73,47.83%,3.32,3.32,3.40,32.93%,25,76770.65
3,QLD,WA,经济型,6.6,15,5.3,6120,7634,9769.45,5123.40,52.44%,3.10,3.10,3.17,34.98%,25,81800.75
3,QLD,TAS,经济型,6.6,15,5.3,6120,10148,9769.45,5748.87,58.85%,2.86,2.86,2.91,37.84%,25,88781.85
3,QLD,NT,经济型,6.6,15,5.3,6120,10008,9769.45,6005.27,61.47%,2.76,2.76,2.81,39.01%,25,91643.61
3,QLD,ACT,经济型,6.6,15,5.3,6120,8632,9769.45,4882.62,49.98%,3.21,3.21,3.28,33.89%,25,79113.32
4,QLD,NSW,高端型,3.96,9,9.1,7554,7778,5861.67,5616.54,95.82%,4.48,4.48,4.64,25.37%,25,74505.43
4,QLD,VIC,高端型,3.96,9,9.1,7554,6778,5861.67,5425.99,92.57%,4.64,4.64,4.78,24.67%,25,72377.91
4,QLD,QLD,高端型,3.96,9,9.1,7554,7270,5861.67,5777.88,98.57%,4.33,4.33,4.50,25.95%,25,76302.33
4,QLD,SA,高端型,3.96,9,9.1,7554,7129,5861.67,5475.01,93.40%,4.60,4.60,4.74,24.85%,25,72924.94
4,QLD,WA,高端型,3.96,9,9.1,7554,7634,5861.67,5722.00,97.62%,4.38,4.38,4.55,25.75%,25,75682.45
4,QLD,TAS,高端型,3.96,9,9.1,7554,10148,5861.67,5861.67,100.00%,4.27,4.27,4.41,26.26%,25,77237.51
4,QLD,NT,高端型,3.96,9,9.1,7554,10008,5861.67,5861.67,100.00%,4.27,4.27,4.41,26.26%,25,77237.51
4,QLD,ACT,高端型,3.96,9,9.1,7554,8632,5861.67,5572.08,95.06%,4.52,4.52,4.67,25.20%,25,74008.97
4,QLD,NSW,平衡型,3.96,9,6.6,6007,7778,5861.67,5022.83,85.69%,3.74,3.74,3.84,29.70%,25,69126.01
4,QLD,VIC,平衡型,3.96,9,6.6,6007,6778,5861.67,4791.37,81.74%,3.90,3.90,3.99,28.64%,25,66541.57
4,QLD,QLD,平衡型,3.96,9,6.6,6007,7270,5861.67,5214.13,88.95%,3.63,3.63,3.72,30.58%,25,71255.53
4,QLD,SA,平衡型,3.96,9,6.6,6007,7129,5861.67,4851.12,82.76%,3.85,3.85,3.95,28.91%,25,67208.86
4,QLD,WA,平衡型,3.96,9,6.6,6007,7634,5861.67,5148.62,87.84%,3.67,3.67,3.76,30.28%,25,70529.94
4,QLD,TAS,平衡型,3.96,9,6.6,6007,10148,5861.67,5464.93,93.23%,3.48,3.48,3.58,31.73%,25,74060.66
4,QLD,NT,平衡型,3.96,9,6.6,6007,10008,5861.67,5612.38,95.75%,3.37,3.37,3.47,32.41%,25,75706.51
4,QLD,ACT,平衡型,3.96,9,6.6,6007,8632,5861.67,4960.75,84.63%,3.78,3.78,3.88,29.41%,25,68433.10
4,QLD,NSW,经济型,3.96,9,4.4,4629,7778,5861.67,4382.46,74.76%,3.07,3.07,3.13,35.39%,25,63075.72
4,QLD,VIC,经济型,3.96,9,4.4,4629,6778,5861.67,4102.35,69.99%,3.23,3.23,3.31,33.70%,25,59949.01
4,QLD,QLD,经济型,3.96,9,4.4,4629,7270,5861.67,4523.66,77.17%,3.00,3.00,3.05,36.23%,25,64645.74
4,QLD,SA,经济型,3.96,9,4.4,4629,7129,5861.67,4183.82,71.38%,3.18,3.18,3.25,34.19%,25,60858.53
4,QLD,WA,经济型,3.96,9,4.4,4629,7634,5861.67,4535.41,77.37%,2.99,2.99,3.05,36.31%,25,64782.70
4,QLD,TAS,经济型,3.96,9,4.4,4629,10148,5861.67,4922.57,83.98%,2.80,2.80,2.85,38.64%,25,69105.18
4,QLD,NT,经济型,3.96,9,4.4,4629,10008,5861.67,5084.80,86.75%,2.73,2.73,2.78,39.62%,25,70916.19
4,QLD,ACT,经济型,3.96,9,4.4,4629,8632,5861.67,4307.64,73.49%,3.11,3.11,3.18,34.94%,25,62240.86
5,QLD,NSW,高端型,11.88,27,17.8,16106,7778,17585.01,7779.87,44.24%,5.60,5.60,5.81,20.72%,25,127005.86
5,QLD,VIC,高端型,11.88,27,17.8,16106,6778,17585.01,6779.02,38.55%,6.19,6.19,6.46,18.98%,25,115835.08
5,QLD,QLD,高端型,11.88,27,17.8,16106,7270,17585.01,7269.13,41.34%,5.91,5.91,6.11,19.83%,25,121288.65
5,QLD,SA,高端型,11.88,27,17.8,16106,7129,17585.01,7130.00,40.55%,5.98,5.98,6.21,19.59%,25,119752.48
5,QLD,WA,高端型,11.88,27,17.8,16106,7634,17585.01,7635.37,43.42%,5.67,5.67,5.90,20.47%,25,125393.13
5,QLD,TAS,高端型,11.88,27,17.8,16106,10148,17585.01,9879.02,56.18%,4.66,4.66,4.82,24.33%,25,150433.64
5,QLD,NT,高端型,11.88,27,17.8,16106,10008,17585.01,9853.74,56.03%,4.67,4.67,4.83,24.28%,25,150153.04
5,QLD,ACT,高端型,11.88,27,17.8,16106,8632,17585.01,8522.74,48.47%,5.23,5.23,5.43,22.00%,25,135297.39
5,QLD,NSW,平衡型,10.12,23,10.1,10585,7778,14979.83,6786.74,45.31%,3.99,3.99,4.09,27.91%,25,112509.67
5,QLD,VIC,平衡型,10.12,23,10.1,10585,6778,14979.83,6359.33,42.45%,4.16,4.16,4.28,26.79%,25,107735.87
5,QLD,QLD,平衡型,10.12,23,10.1,10585,7270,14979.83,6849.88,45.73%,3.96,3.96,4.06,28.08%,25,113207.50
5,QLD,SA,平衡型,10.12,23,10.1,10585,7129,14979.83,6523.02,43.55%,4.09,4.09,4.21,27.22%,25,109565.05
5,QLD,WA,平衡型,10.12,23,10.1,10585,7634,14979.83,6989.46,46.66%,3.91,3.91,4.01,28.44%,25,114771.42
5,QLD,TAS,平衡型,10.12,23,10.1,10585,10148,14979.83,7669.80,51.20%,3.65,3.65,3.74,30.23%,25,122365.73
5,QLD,NT,平衡型,10.12,23,10.1,10585,10008,14979.83,7926.55,52.91%,3.57,3.57,3.65,30.90%,25,125231.37
5,QLD,ACT,平衡型,10.12,23,10.1,10585,8632,14979.83,6767.48,45.18%,4.00,4.00,4.09,27.86%,25,112294.64
5,QLD,NSW,经济型,6.6,15,5.3,6120,7778,9769.45,4921.74,50.38%,3.19,3.19,3.26,34.07%,25,79549.94
5,QLD,VIC,经济型,6.6,15,5.3,6120,6778,9769.45,4589.41,46.98%,3.36,3.36,3.44,32.55%,25,75840.73
5,QLD,QLD,经济型,6.6,15,5.3,6120,7270,9769.45,4992.90,51.11%,3.15,3.15,3.22,34.39%,25,80337.58
5,QLD,SA,经济型,6.6,15,5.3,6120,7129,9769.45,4672.73,47.83%,3.32,3.32,3.40,32.93%,25,76770.65
5,QLD,WA,经济型,6.6,15,5.3,6120,7634,9769.45,5123.40,52.44%,3.10,3.10,3.17,34.98%,25,81800.75
5,QLD,TAS,经济型,6.6,15,5.3,6120,10148,9769.45,5748.87,58.85%,2.86,2.86,2.91,37.84%,25,88781.85
5,QLD,NT,经济型,6.6,15,5.3,6120,10008,9769.45,6005.27,61.47%,2.76,2.76,2.81,39.01%,25,91643.61
5,QLD,ACT,经济型,6.6,15,5.3,6120,8632,9769.45,4882.62,49.98%,3.21,3.21,3.28,33.89%,25,79113.32
6,QLD,NSW,高端型,3.96,9,9.1,7554,7778,5861.67,5616.54,95.82%,4.48,4.48,4.64,25.37%,25,74505.43
6,QLD,VIC,高端型,3.96,9,9.1,7554,6778,5861.67,5425.99,92.57%,4.64,4.64,4.78,24.67%,25,72377.91
6,QLD,QLD,高端型,3.96,9,9.1,7554,7270,5861.67,5777.88,98.57%,4.33,4.33,4.50,25.95%,25,76302.33
6,QLD,SA,高端型,3.96,9,9.1,7554,7129,5861.67,5475.01,93.40%,4.60,4.60,4.74,24.85%,25,72924.94
6,QLD,WA,高端型,3.96,9,9.1,7554,7634,5861.67,5722.00,97.62%,4.38,4.38,4.55,25.75%,25,75682.45
6,QLD,TAS,高端型,3.96,9,9.1,7554,10148,5861.67,5861.67,100.00%,4.27,4.27,4.41,26.26%,25,77237.51
6,QLD,NT,高端型,3.96,9,9.1,7554,10008,5861.67,5861.67,100.00%,4.27,4.27,4.41,26.26%,25,77237.51
6,QLD,ACT,高端型,3.96,9,9.1,7554,8632,5861.67,5572.08,95.06%,4.52,4.52,4.67,25.20%,25,74008.97
6,QLD,NSW,平衡型,3.96,9,6.6,6007,7778,5861.67,5022.83,85.69%,3.74,3.74,3.84,29.70%,25,69126.01
6,QLD,VIC,平衡型,3.96,9,6.6,6007,6778,5861.67,4791.37,81.74%,3.90,3.90,3.99,28.64%,25,66541.57
6,QLD,QLD,平衡型,3.96,9,6.6,6007,7270,5861.67,5214.13,88.95%,3.63,3.63,3.72,30.58%,25,71255.53
6,QLD,SA,平衡型,3.96,9,6.6,6007,7129,5861.67,4851.12,82.76%,3.85,3.85,3.95,28.91%,25,67208.86
6,QLD,WA,平衡型,3.96,9,6.6,6007,7634,5861.67,5148.62,87.84%,3.67,3.67,3.76,30.28%,25,70529.94
6,QLD,TAS,平衡型,3.96,9,6.6,6007,10148,5861.67,5464.93,93.23%,3.48,3.48,3.58,31.73%,25,74060.66
6,QLD,NT,平衡型,3.96,9,6.6,6007,10008,5861.67,5612.38,95.75%,3.37,3.37,3.47,32.41%,25,75706.51
6,QLD,ACT,平衡型,3.96,9,6.6,6007,8632,5861.67,4960.75,84.63%,3.78,3.78,3.88,29.41%,25,68433.10
6,QLD,NSW,经济型,3.96,9,4.4,4629,7778,5861.67,4382.46,74.76%,3.07,3.07,3.13,35.39%,25,63075.72
6,QLD,VIC,经济型,3.96,9,4.4,4629,6778,5861.67,4102.35,69.99%,3.23,3.23,3.31,33.70%,25,59949.01
6,QLD,QLD,经济型,3.96,9,4.4,4629,7270,5861.67,4523.66,77.17%,3.00,3.00,3.05,36.23%,25,64645.74
6,QLD,SA,经济型,3.96,9,4.4,4629,7129,5861.67,4183.82,71.38%,3.18,3.18,3.25,34.19%,25,60858.53
6,QLD,WA,经济型,3.96,9,4.4,4629,7634,5861.67,4535.41,77.37%,2.99,2.99,3.05,36.31%,25,64782.70
6,QLD,TAS,经济型,3.96,9,4.4,4629,10148,5861.67,4922.57,83.98%,2.80,2.80,2.85,38.64%,25,69105.18
6,QLD,NT,经济型,3.96,9,4.4,4629,10008,5861.67,5084.80,86.75%,2.73,2.73,2.78,39.62%,25,70916.19
6,QLD,ACT,经济型,3.96,9,4.4,4629,8632,5861.67,4307.64,73.49%,3.11,3.11,3.18,34.94%,25,62240.86
8,QLD,NSW,高端型,18.48,42,27.7,24755,7778,27354.47,7779.87,28.44%,7.53,7.53,7.89,16.01%,25,149318.36
8,QLD,VIC,高端型,18.48,42,27.7,24755,6778,27354.47,6779.02,24.78%,8.18,8.18,8.62,14.84%,25,138147.58
8,QLD,QLD,高端型,18.48,42,27.7,24755,7270,27354.47,7269.13,26.57%,7.86,7.86,8.22,15.41%,25,143601.15
8,QLD,SA,高端型,18.48,42,27.7,24755,7129,27354.47,7130.00,26.07%,7.95,7.95,8.35,15.25%,25,142064.99
8,QLD,WA,高端型,18.48,42,27.7,24755,7634,27354.47,7635.37,27.91%,7.61,7.61,7.99,15.84%,25,147705.64
8,QLD,TAS,高端型,18.48,42,27.7,24755,10148,27354.47,10149.52,37.10%,6.30,6.30,6.56,18.72%,25,175766.77
8,QLD,NT,高端型,18.48,42,27.7,24755,10008,27354.47,10009.80,36.59%,6.37,6.37,6.62,18.56%,25,174207.31
8,QLD,ACT,高端型,18.48,42,27.7,24755,8632,27354.47,8633.29,31.56%,7.03,7.03,7.36,16.99%,25,158843.72
8,QLD,NSW,平衡型,13.2,30,13.2,13856,7778,19538.90,7549.21,38.64%,4.47,4.47,4.60,25.20%,25,132182.43
8,QLD,VIC,平衡型,13.2,30,13.2,13856,6778,19538.90,6719.63,34.39%,4.82,4.82,4.98,23.54%,25,122924.95
8,QLD,QLD,平衡型,13.2,30,13.2,13856,7270,19538.90,7268.14,37.20%,4.58,4.58,4.73,24.64%,25,129030.31
8,QLD,SA,平衡型,13.2,30,13.2,13856,7129,19538.90,7013.24,35.89%,4.68,4.68,4.84,24.13%,25,126201.89
8,QLD,WA,平衡型,13.2,30,13.2,13856,7634,19538.90,7509.71,38.43%,4.49,4.49,4.61,25.12%,25,131743.16
8,QLD,TAS,平衡型,13.2,30,13.2,13856,10148,19538.90,8899.44,45.55%,3.99,3.99,4.09,27.91%,25,147265.11
8,QLD,NT,平衡型,13.2,30,13.2,13856,10008,19538.90,9147.51,46.82%,3.91,3.91,4.01,28.41%,25,150033.00
8,QLD,ACT,平衡型,13.2,30,13.2,13856,8632,19538.90,7949.39,40.68%,4.31,4.31,4.44,26.01%,25,136659.41
8,QLD,NSW,经济型,6.6,15,5.3,6120,7778,9769.45,4921.74,50.38%,3.19,3.19,3.26,34.07%,25,79549.94
8,QLD,VIC,经济型,6.6,15,5.3,6120,6778,9769.45,4589.41,46.98%,3.36,3.36,3.44,32.55%,25,75840.73
8,QLD,QLD,经济型,6.6,15,5.3,6120,7270,9769.45,4992.90,51.11%,3.15,3.15,3.22,34.39%,25,80337.58
8,QLD,SA,经济型,6.6,15,5.3,6120,7129,9769.45,4672.73,47.83%,3.32,3.32,3.40,32.93%,25,76770.65
8,QLD,WA,经济型,6.6,15,5.3,6120,7634,9769.45,5123.40,52.44%,3.10,3.10,3.17,34.98%,25,81800.75
8,QLD,TAS,经济型,6.6,15,5.3,6120,10148,9769.45,5748.87,58.85%,2.86,2.86,2.91,37.84%,25,88781.85
8,QLD,NT,经济型,6.6,15,5.3,6120,10008,9769.45,6005.27,61.47%,2.76,2.76,2.81,39.01%,25,91643.61
8,QLD,ACT,经济型,6.6,15,5.3,6120,8632,9769.45,4882.62,49.98%,3.21,3.21,3.28,33.89%,25,79113.32
9,QLD,NSW,高端型,14.08,32,21.1,19028,7778,20841.50,7779.87,37.33%,6.33,6.33,6.58,18.65%,25,134443.36
9,QLD,VIC,高端型,14.08,32,21.1,19028,6778,20841.50,6779.02,32.53%,6.95,6.95,7.25,17.17%,25,123272.58
9,QLD,QLD,高端型,14.08,32,21.1,19028,7270,20841.50,7269.13,34.88%,6.64,6.64,6.92,17.90%,25,128726.15
9,QLD,SA,高端型,14.08,32,21.1,19028,7129,20841.50,7130.00,34.21%,6.71,6.71,7.01,17.69%,25,127189.98
9,QLD,WA,高端型,14.08,32,21.1,19028,7634,20841.50,7635.37,36.64%,6.42,6.42,6.66,18.44%,25,132830.63
9,QLD,TAS,高端型,14.08,32,21.1,19028,10148,20841.50,10119.63,48.56%,5.21,5.21,5.41,22.08%,25,160558.35
9,QLD,NT,高端型,14.08,32,21.1,19028,10008,20841.50,10009.80,48.03%,5.26,5.26,5.45,21.92%,25,159332.31
9,QLD,ACT,高端型,14.08,32,21.1,19028,8632,20841.50,8633.29,41.42%,5.87,5.87,6.09,19.91%,25,143968.72
9,QLD,NSW,平衡型,10.12,23,10.1,10585,7778,14979.83,6786.74,45.31%,3.99,3.99,4.09,27.91%,25,112509.67
9,QLD,VIC,平衡型,10.12,23,10.1,10585,6778,14979.83,6359.33,42.45%,4.16,4.16,4.28,26.79%,25,107735.87
9,QLD,QLD,平衡型,10.12,23,10.1,10585,7270,14979.83,6849.88,45.73%,3.96,3.96,4.06,28.08%,25,113207.50
9,QLD,SA,平衡型,10.12,23,10.1,10585,7129,14979.83,6523.02,43.55%,4.09,4.09,4.21,27.22%,25,109565.05
9,QLD,WA,平衡型,10.12,23,10.1,10585,7634,14979.83,6989.46,46.66%,3.91,3.91,4.01,28.44%,25,114771.42
9,QLD,TAS,平衡型,10.12,23,10.1,10585,10148,14979.83,7669.80,51.20%,3.65,3.65,3.74,30.23%,25,122365.73
9,QLD,NT,平衡型,10.12,23,10.1,10585,10008,14979.83,7926.55,52.91%,3.57,3.57,3.65,30.90%,25,125231.37
9,QLD,ACT,平衡型,10.12,23,10.1,10585,8632,14979.83,6767.48,45.18%,4.00,4.00,4.09,27.86%,25,112294.64
9,QLD,NSW,经济型,6.6,15,5.3,6120,7778,9769.45,4921.74,50.38%,3.19,3.19,3.26,34.07%,25,79549.94
9,QLD,VIC,经济型,6.6,15,5.3,6120,6778,9769.45,4589.41,46.98%,3.36,3.36,3.44,32.55%,25,75840.73
9,QLD,QLD,经济型,6.6,15,5.3,6120,7270,9769.45,4992.90,51.11%,3.15,3.15,3.22,34.39%,25,80337.58
9,QLD,SA,经济型,6.6,15,5.3,6120,7129,9769.45,4672.73,47.83%,3.32,3.32,3.40,32.93%,25,76770.65
9,QLD,WA,经济型,6.6,15,5.3,6120,7634,9769.45,5123.40,52.44%,3.10,3.10,3.17,34.98%,25,81800.75
9,QLD,TAS,经济型,6.6,15,5.3,6120,10148,9769.45,5748.87,58.85%,2.86,2.86,2.91,37.84%,25,88781.85
9,QLD,NT,经济型,6.6,15,5.3,6120,10008,9769.45,6005.27,61.47%,2.76,2.76,2.81,39.01%,25,91643.61
9,QLD,ACT,经济型,6.6,15,5.3,6120,8632,9769.45,4882.62,49.98%,3.21,3.21,3.28,33.89%,25,79113.32
10,QLD,NSW,高端型,11.44,26,17.2,15607,7778,16933.72,7779.87,45.94%,5.50,5.50,5.67,21.11%,25,125488.36
10,QLD,VIC,高端型,11.44,26,17.2,15607,6778,16933.72,6779.02,40.03%,6.07,6.07,6.32,19.32%,25,114317.58
10,QLD,QLD,高端型,11.44,26,17.2,15607,7270,16933.72,7269.13,42.93%,5.78,5.78,5.99,20.20%,25,119771.15
10,QLD,SA,高端型,11.44,26,17.2,15607,7129,16933.72,7130.00,42.11%,5.85,5.85,6.07,19.95%,25,118234.98
10,QLD,WA,高端型,11.44,26,17.2,15607,7634,16933.72,7635.37,45.09%,5.56,5.56,5.76,20.85%,25,123875.63
10,QLD,TAS,高端型,11.44,26,17.2,15607,10148,16933.72,9821.00,58.00%,4.58,4.58,4.72,24.73%,25,148267.54
10,QLD,NT,高端型,11.44,26,17.2,15607,10008,16933.72,9802.49,57.89%,4.59,4.59,4.73,24.70%,25,148062.84
